"Id","Weekly_Sales"
"1_1_2012-11-02",799.259049463161
"1_1_2012-11-09",813.612714934421
"1_1_2012-11-16",797.954027866372
"1_1_2012-11-23",1127.19098829102
"1_1_2012-11-30",788.73459578149
"1_1_2012-12-07",1158.3761644199
"1_1_2012-12-14",1110.02744852834
"1_1_2012-12-21",1158.47082401744
"1_1_2012-12-28",744.018273594649
"1_1_2013-01-04",671.141571321328
"1_1_2013-01-11",688.559749978279
"1_1_2013-01-18",668.942448666993
"1_1_2013-01-25",649.910162089462
"1_1_2013-02-01",799.441022910734
"1_1_2013-02-08",840.055647248597
"1_1_2013-02-15",851.950666257873
"1_1_2013-02-22",748.591216728253
"1_1_2013-03-01",738.642313642627
"1_1_2013-03-08",763.783406661745
"1_1_2013-03-15",768.811969287279
"1_1_2013-03-22",784.350002801846
"1_1_2013-03-29",899.728291125316
"1_1_2013-04-05",750.654211725839
"1_1_2013-04-12",756.895526763121
"1_1_2013-04-19",753.71356571085
"1_1_2013-04-26",747.84352765032
"1_1_2013-05-03",755.015321870054
"1_1_2013-05-10",756.553895579478
"1_1_2013-05-17",756.521805625119
"1_1_2013-05-24",745.683672553655
"1_1_2013-05-31",769.300029029059
"1_1_2013-06-07",765.138158851701
"1_1_2013-06-14",760.884273007651
"1_1_2013-06-21",762.560705710255
"1_1_2013-06-28",762.106927331256
"1_1_2013-07-05",778.923581855576
"1_1_2013-07-12",722.837936132283
"1_1_2013-07-19",731.007371390825
"1_1_2013-07-26",727.62065165687
"1_2_2012-11-02",6120.00638266614
"1_2_2012-11-09",6229.91383302002
"1_2_2012-11-16",6110.01370193611
"1_2_2012-11-23",8631.01399659877
"1_2_2012-11-30",6039.41958949919
"1_2_2012-12-07",8869.8020054196
"1_2_2012-12-14",8499.59105810685
"1_2_2012-12-21",8870.52682341385
"1_2_2012-12-28",5697.02224363663
"1_2_2013-01-04",5138.99805440793
"1_2_2013-01-11",5272.37078835014
"1_2_2013-01-18",5122.15915256523
"1_2_2013-01-25",4976.42703303595
"1_2_2013-02-01",6121.3997715322
"1_2_2013-02-08",6432.39000723146
"1_2_2013-02-15",6523.47135602269
"1_2_2013-02-22",5732.03772601874
"1_2_2013-03-01",5655.85798125957
